Promosyon,VadeIskonto,Promosyon_GecenAy,Lansman İçerik Kodu,BolgeDepoSayısı,Boya Tüketici Fiyat Endeksi,BaglantiKampanyasiBittiMi,BaglantiKampanyasi,IskontoOran,ToplamTeklifMiktari,VadeIskonto_GecenAy,CRMAktiviteTuru,CRMAktiviteBitiseUzaklik,CRM_Hedef_Kitle_Kisi_Sayi,Tüketici Fiyatlarının Değişimine Ilişkin Düşünce,DonemSonu,USD_Std6,Pesin_GecenAy,PromosyonIskonto,ToplamHedef,Konut Faiz Oranları_RM6,Satis,Yapı Kullanma İzin Belgesi - Daire Sayısı_RM6,KampanyaTuru_GecenAy,Boya ÜFE_RM6,Boya ÜFE_RM12,Binalar Ve Bina İnşaat İşleri_RM12,Binalar Ve Bina İnşaat İşleri_RM6,ToptanciStok,İnşaat Büyüme_RM3,IadeKampanyasi,Yıl,Ay,Bölüm5 Kod,MusteriGrup,ToplamTonaj
0.0,0.0,0.0,0,0.0,16.523300170898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.97999954223633,0.0,0.15165095943234155,0.0,0.0,384557339.68,12.542583465576172,212320706.362448,70144.0,1.0,221.6166661580404,213.96416600545246,127.58166567484535,130.4566650390625,1930012.629,4.492633819580078,0.0,2017,11,5,Toptancı+Perakendeci,254698.525
0.0,0.0,0.0,0,0.0,16.939800262451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.30000305175781,1.0,0.17418410963390482,0.0,0.0,384557339.68,12.843250115712486,225916092.25945,73606.833984375,1.0,225.0300013224284,217.3574994405111,129.1449991861979,132.13666534423828,1115898.5159999998,2.281985282897949,0.0,2017,12,5,Toptancı+Perakendeci,447909.486
0.0,0.0,0.0,0,0.0,17.707199096679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.1725889521323837,0.0,0.0,174386952.2,13.19741678237915,235132620.952929,74906.50130208331,1.0,230.8300018310547,221.19833246866855,130.81833267211914,134.85499827067056,925974.599,-4.082540512084962,0.0,2018,1,5,Toptancı+Perakendeci,58466.586
0.0,0.0,0.0,0,0.0,18.72470092773437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.77999877929688,0.0,0.15049956537061518,0.0,0.0,174386952.2,13.562833468119305,253172638.077604,76206.16861979169,1.0,236.4000015258789,224.98999913533527,132.605832417806,137.67666371663412,939398.283,-10.447066307067873,0.0,2018,2,5,Toptancı+Perakendeci,101346.745
0.0,0.0,0.0,0,0.0,19.1382999420166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.43999862670898,1.0,0.08392731377565661,0.0,0.0,174386952.2,13.882833480834961,13300108.142735,77505.8359375,1.0,241.71500142415368,228.74666595458984,134.46333185831705,140.6583302815755,556139.059,-16.811592102050778,0.0,2018,3,5,Toptancı+Perakendeci,2423473.159
0.0,0.0,0.0,0,0.0,19.54459953308105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.599998474121094,0.0,0.10252218635862248,0.0,0.0,223392780.88,14.180333455403645,40662061.284571,74446.16927083331,1.0,246.63666788736973,232.58416620890296,136.49749883015951,143.82333119710287,197635.635,-4.455953598022461,0.0,2018,4,5,Toptancı+Perakendeci,399136.064
0.0,0.0,0.0,0,0.0,19.80349922180176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.11000061035156,0.0,0.2458741614909381,0.0,0.0,223392780.88,14.307000001271565,107202602.144178,71386.50260416669,1.0,251.94333394368493,236.78000005086258,138.81499862670898,147.17333221435547,905263.372,7.899684906005858,0.0,2018,5,5,Toptancı+Perakendeci,70294.63900000001
0.0,0.0,0.0,0,0.0,20.090999603271484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.11999893188477,1.0,0.3572112430849342,0.0,0.0,223392780.88,14.235999902089436,118853202.684432,68326.8359375,1.0,258.0983327229817,241.56416702270508,141.45166524251303,150.76666514078775,1831784.944,20.25532341003418,0.0,2018,6,5,Toptancı+Perakendeci,497917.752
0.0,0.0,0.0,0,0.0,20.628700256347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.849998474121094,0.0,0.4038382324299949,0.0,0.0,432488688.2,14.689333279927574,128450283.974908,68142.890625,1.0,262.4733327229817,246.65166727701825,144.20416514078775,153.55333201090494,1375397.886,9.248488426208496,0.0,2018,7,5,Toptancı+Perakendeci,58614.184
0.0,0.0,0.0,0,0.0,21.62619972229004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.91999816894531,0.0,0.6551830919098863,0.0,0.0,432488688.2,15.407583395640053,151065780.87761998,67958.9453125,1.0,269.418332417806,252.9091669718424,147.5991655985514,157.52166748046875,1254172.246,-1.7583465576171875,0.0,2018,8,5,Toptancı+Perakendeci,606192.938
